path	product_area	triage	review_status
/en/get-started/writing-on-github/editing-and-sharing-content-with-gists	get-started	mixed-review-required	unreviewed
/en/get-started/writing-on-github/editing-and-sharing-content-with-gists/creating-gists	get-started	mixed-review-required	unreviewed
/en/get-started/writing-on-github/editing-and-sharing-content-with-gists/forking-and-cloning-gists	get-started	mixed-review-required	unreviewed
/en/get-started/writing-on-github/editing-and-sharing-content-with-gists/saving-gists-with-stars	get-started	mixed-review-required	unreviewed
/en/get-started/writing-on-github/editing-and-sharing-content-with-gists/moderating-gist-comments	get-started	mixed-review-required	unreviewed
/en/get-started/exploring-projects-on-github	get-started	mixed-review-required	unreviewed
/en/get-started/exploring-projects-on-github/finding-ways-to-contribute-to-open-source-on-github	get-started	mixed-review-required	unreviewed
/en/get-started/exploring-projects-on-github/contributing-to-open-source	get-started	mixed-review-required	unreviewed
/en/get-started/exploring-projects-on-github/using-github-copilot-to-explore-projects	get-started	mixed-review-required	unreviewed
/en/get-started/exploring-projects-on-github/contributing-to-a-project	get-started	mixed-review-required	unreviewed
/en/get-started/exploring-projects-on-github/saving-repositories-with-stars	get-started	mixed-review-required	unreviewed
/en/get-started/exploring-projects-on-github/following-people	get-started	mixed-review-required	unreviewed
/en/get-started/exploring-projects-on-github/following-organizations	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/set-up-git	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/setting-your-username-in-git	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/caching-your-github-credentials-in-git	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/why-is-git-always-asking-for-my-credentials	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/updating-credentials-from-the-macos-keychain	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/git-workflows	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/about-remote-repositories	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/managing-remote-repositories	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/associating-text-editors-with-git	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/configuring-git-to-handle-line-endings	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/ignoring-files	get-started	mixed-review-required	unreviewed
/en/get-started/git-basics/git-cheatsheet	get-started	mixed-review-required	unreviewed
/en/get-started/using-git	get-started	mixed-review-required	unreviewed
/en/get-started/using-git/about-git	get-started	mixed-review-required	unreviewed
/en/get-started/using-git/pushing-commits-to-a-remote-repository	get-started	mixed-review-required	unreviewed
/en/get-started/using-git/getting-changes-from-a-remote-repository	get-started	mixed-review-required	unreviewed
